user_id,result,ip,user_agent,occurred_at
1,SUCCESS,203.0.113.10,Mozilla/5.0 (Windows NT 10.0; Win64; x64),2026-02-09T05:22:14.401814+00:00
1,FAILED,203.0.113.10,Mozilla/5.0 (Windows NT 10.0; Win64; x64),2026-02-09T05:23:14.401814+00:00
1,SUCCESS,203.0.113.11,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X),2026-02-10T05:22:14.401814+00:00
2,SUCCESS,198.51.100.20,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),2026-02-11T02:22:14.401814+00:00
1,FAILED,194.192.171.57,Mozilla/5.0 (Linux; Android 14),2025-12-27T07:30:58.405314+00:00
1,FAILED,162.83.219.142,Mozilla/5.0 (Linux; Android 14),2025-05-05T16:02:21.406314+00:00
2,FAILED,138.246.202.94,Mozilla/5.0 (Linux; Android 14),2025-10-09T12:17:55.406314+00:00
2,FAILED,158.158.231.240,Mozilla/5.0 (Windows NT 10.0; Win64; x64),2025-08-07T15:27:57.406814+00:00
2,FAILED,186.51.151.83,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),2025-04-21T15:42:33.406814+00:00
2,SUCCESS,216.29.23.13,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X),2025-07-24T02:24:56.406814+00:00
3,FAILED,183.172.9.30,Mozilla/5.0 (Windows NT 10.0; Win64; x64),2026-01-10T16:51:37.406814+00:00
4,SUCCESS,115.235.40.167,Mozilla/5.0 (Linux; Android 14),2025-10-10T22:50:09.407814+00:00
5,FAILED,73.94.120.213,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),2025-07-15T07:32:21.408315+00:00
5,SUCCESS,130.200.242.85,Mozilla/5.0 (Windows NT 10.0; Win64; x64),2025-07-06T06:05:01.408315+00:00
5,SUCCESS,82.214.46.70,Mozilla/5.0 (Windows NT 10.0; Win64; x64),2025-08-31T03:13:44.408315+00:00
5,FAILED,30.30.128.229,Mozilla/5.0 (Linux; Android 14),2025-03-14T23:02:26.408315+00:00
6,SUCCESS,172.37.41.172,Mozilla/5.0 (Linux; Android 14),2025-09-09T04:54:27.408315+00:00
6,SUCCESS,216.96.10.72,Mozilla/5.0 (Linux; Android 14),2025-08-17T13:38:37.408315+00:00
6,FAILED,131.114.116.58,Mozilla/5.0 (Linux; Android 14),2025-04-20T05:38:45.408315+00:00
6,SUCCESS,223.223.65.137,Mozilla/5.0 (Linux; Android 14),2025-06-19T21:39:08.408315+00:00
7,SUCCESS,165.51.97.213,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),2025-08-11T12:12:16.408315+00:00
8,FAILED,89.165.149.17,Mozilla/5.0 (Linux; Android 14),2025-10-18T04:55:40.408315+00:00
8,FAILED,195.199.53.179,Mozilla/5.0 (Linux; Android 14),2025-05-06T22:08:41.408315+00:00
8,FAILED,216.183.156.188,Mozilla/5.0 (Linux; Android 14),2025-08-30T23:40:42.408315+00:00
8,SUCCESS,105.252.99.86,Mozilla/5.0 (Windows NT 10.0; Win64; x64),2025-02-13T06:02:07.408315+00:00
9,FAILED,213.240.67.133,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),2025-06-15T20:01:37.408315+00:00
9,FAILED,201.181.47.100,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X),2025-06-30T06:21:18.408815+00:00
9,SUCCESS,186.185.39.203,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),2026-01-25T16:21:47.408815+00:00
9,FAILED,98.193.111.185,Mozilla/5.0 (Linux; Android 14),2025-06-11T09:01:44.408815+00:00
10,SUCCESS,213.229.80.92,Mozilla/5.0 (Linux; Android 14),2025-04-14T04:23:24.408815+00:00
11,SUCCESS,223.36.230.235,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),2025-10-05T12:41:28.408815+00:00
12,SUCCESS,153.98.55.96,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7),2026-01-26T05:56:27.408815+00:00
12,SUCCESS,189.6.239.154,Mozilla/5.0 (Windows NT 10.0; Win64; x64),2025-03-26T22:39:10.408815+00:00
13,SUCCESS,205.167.243.163,Mozilla/5.0 (Linux; Android 14),2025-08-08T14:03:08.408815+00:00
14,FAILED,140.88.10.91,Mozilla/5.0 (Windows NT 10.0; Win64; x64),2025-05-27T19:19:04.408815+00:00
