user_id,transfer_limit_yen,atm_withdraw_limit_yen,updated_at
1,1000000,50000,2025-04-20T04:31:26.406314+00:00
2,1000000,100000,2026-01-12T22:12:52.406814+00:00
3,100000,30000,2026-01-19T01:06:24.406814+00:00
4,1000000,100000,2025-10-20T09:25:36.408315+00:00
5,300000,50000,2025-08-10T21:15:41.408315+00:00
6,200000,200000,2025-11-08T13:49:14.408315+00:00
7,300000,50000,2025-03-10T04:34:13.408315+00:00
8,1000000,200000,2025-08-22T05:17:07.408315+00:00
9,1000000,200000,2025-02-14T18:58:08.408815+00:00
10,500000,50000,2025-09-25T09:06:11.408815+00:00
11,200000,100000,2026-01-29T05:32:52.408815+00:00
12,200000,50000,2025-09-17T12:59:46.408815+00:00
13,200000,50000,2025-09-09T20:56:25.408815+00:00
14,500000,30000,2025-07-10T20:15:02.408815+00:00
15,100000,30000,2025-05-08T20:14:06.409314+00:00
16,200000,100000,2025-10-24T11:25:18.409314+00:00
17,300000,200000,2025-05-18T16:12:08.409314+00:00
18,1000000,50000,2025-12-10T14:20:05.409314+00:00
19,1000000,100000,2025-05-16T03:13:09.409314+00:00
20,1000000,100000,2025-07-10T18:39:15.409314+00:00
21,1000000,200000,2025-03-09T21:40:04.409814+00:00
22,200000,100000,2025-04-04T03:08:45.409814+00:00
23,100000,30000,2025-04-18T03:13:36.409814+00:00
24,100000,50000,2026-01-18T05:10:48.409814+00:00
25,100000,50000,2025-10-19T17:26:26.409814+00:00
26,100000,50000,2025-08-20T00:11:28.409814+00:00
27,200000,50000,2025-05-23T10:36:18.409814+00:00
28,300000,50000,2025-04-30T09:48:55.410314+00:00
29,300000,50000,2025-12-27T07:35:08.410314+00:00
30,200000,100000,2025-11-16T16:31:38.410314+00:00
31,1000000,50000,2025-07-04T10:38:25.410314+00:00
32,300000,200000,2025-09-14T07:06:58.410314+00:00
33,500000,100000,2025-11-05T03:12:37.410314+00:00
34,300000,30000,2025-05-12T11:42:17.410314+00:00
35,300000,200000,2025-12-24T14:59:05.410314+00:00
36,100000,30000,2025-10-28T05:39:41.410314+00:00
37,200000,30000,2026-01-06T11:43:51.410314+00:00
38,100000,30000,2025-12-15T01:59:29.410314+00:00
39,300000,100000,2025-11-17T23:55:27.410314+00:00
40,300000,100000,2025-12-08T18:11:56.411325+00:00
41,200000,200000,2025-05-28T01:02:13.411325+00:00
42,200000,30000,2026-02-07T04:38:20.411325+00:00
43,100000,30000,2025-08-01T09:18:51.411325+00:00
44,1000000,100000,2025-09-11T04:26:33.411832+00:00
45,300000,200000,2025-03-17T23:47:54.411832+00:00
46,200000,30000,2025-09-28T13:42:00.412334+00:00
47,300000,100000,2025-05-27T13:21:43.412334+00:00
48,200000,100000,2025-10-24T15:31:21.412334+00:00
49,1000000,50000,2025-10-27T12:38:09.412334+00:00
50,500000,100000,2025-08-08T15:48:11.412334+00:00
51,500000,100000,2025-03-05T21:42:58.412833+00:00
52,500000,200000,2025-06-20T20:01:47.412833+00:00
53,1000000,50000,2025-11-24T18:42:37.412833+00:00
54,200000,30000,2025-05-30T22:19:56.412833+00:00
55,1000000,50000,2025-08-09T17:51:49.413332+00:00
56,500000,30000,2025-10-29T16:47:18.413332+00:00
57,200000,50000,2025-04-05T03:30:03.413332+00:00
58,1000000,100000,2025-02-22T10:39:36.413332+00:00
59,100000,100000,2026-01-25T11:37:43.413831+00:00
60,200000,50000,2025-05-07T11:41:24.413831+00:00
61,1000000,200000,2025-08-31T02:01:45.413831+00:00
62,100000,200000,2025-10-15T12:38:18.413831+00:00
63,100000,30000,2025-07-28T19:09:31.414331+00:00
64,200000,50000,2025-07-29T03:38:10.414331+00:00
65,1000000,100000,2025-06-19T06:13:26.414331+00:00
66,200000,100000,2025-11-30T06:14:23.414331+00:00
67,100000,200000,2025-06-11T10:36:21.414331+00:00
68,300000,50000,2025-02-20T21:30:17.414331+00:00
69,200000,100000,2026-01-17T19:27:33.414831+00:00
70,1000000,30000,2025-03-26T16:48:50.414831+00:00
71,300000,200000,2025-09-09T02:07:50.414831+00:00
72,1000000,200000,2025-07-18T02:03:31.414831+00:00
73,1000000,100000,2025-08-31T02:06:30.414831+00:00
74,200000,100000,2025-07-23T03:21:52.415331+00:00
75,500000,30000,2025-05-19T13:54:09.415331+00:00
76,300000,50000,2025-08-22T07:57:41.415331+00:00
77,200000,200000,2025-06-26T21:19:38.415331+00:00
78,1000000,100000,2025-03-26T07:29:09.415331+00:00
79,300000,100000,2025-10-19T23:08:17.415831+00:00
80,1000000,200000,2026-02-05T14:07:31.415831+00:00
81,100000,50000,2025-05-23T09:51:37.415831+00:00
82,1000000,100000,2025-04-20T18:17:06.415831+00:00
83,100000,100000,2025-06-26T22:07:56.415831+00:00
84,500000,200000,2026-02-01T05:35:08.415831+00:00
85,300000,100000,2026-01-17T04:57:31.416331+00:00
86,100000,100000,2026-01-30T01:49:11.416331+00:00
87,200000,30000,2025-03-01T03:55:21.416331+00:00
88,1000000,200000,2025-07-14T09:55:55.416331+00:00
89,500000,200000,2025-08-31T22:38:19.416331+00:00
90,100000,50000,2025-07-09T13:03:40.416331+00:00
91,500000,100000,2025-09-26T09:42:16.416331+00:00
92,500000,30000,2026-01-21T01:24:44.416831+00:00
93,200000,100000,2025-12-09T12:32:04.416831+00:00
94,200000,30000,2025-09-07T18:01:01.416831+00:00
95,1000000,100000,2025-06-06T04:26:23.417331+00:00
96,300000,100000,2025-03-11T12:10:01.417331+00:00
97,1000000,200000,2025-04-27T05:15:51.417331+00:00
98,500000,50000,2025-04-15T13:32:16.417331+00:00
99,500000,200000,2025-09-22T19:05:10.417331+00:00
100,500000,50000,2025-12-27T10:37:19.417831+00:00
101,100000,200000,2025-11-03T21:02:03.417831+00:00
102,1000000,50000,2025-10-24T03:57:56.417831+00:00
103,200000,200000,2025-02-19T05:05:40.417831+00:00
104,200000,30000,2026-01-06T19:16:21.417831+00:00
105,100000,100000,2025-08-19T09:29:40.418331+00:00
106,300000,50000,2025-08-04T18:56:32.418331+00:00
107,100000,50000,2025-12-15T15:07:47.418331+00:00
108,300000,50000,2025-07-03T14:11:57.418331+00:00
109,500000,50000,2025-04-21T23:28:04.418331+00:00
110,500000,30000,2025-05-27T00:03:15.418331+00:00
111,300000,30000,2025-08-12T00:15:42.418331+00:00
112,200000,50000,2025-10-17T11:05:23.418831+00:00
113,200000,200000,2025-05-09T08:33:38.418831+00:00
114,200000,50000,2025-09-25T00:30:28.418831+00:00
115,200000,200000,2025-10-30T10:29:10.418831+00:00
116,500000,30000,2025-08-31T07:03:42.418831+00:00
117,200000,100000,2025-04-12T22:45:56.419332+00:00
118,500000,200000,2025-10-10T21:24:33.419332+00:00
119,100000,100000,2025-05-11T03:36:02.419332+00:00
120,1000000,30000,2026-02-02T04:11:53.419332+00:00
121,500000,100000,2025-12-17T11:02:59.419332+00:00
122,500000,30000,2025-07-13T23:13:50.419332+00:00
123,1000000,200000,2026-01-09T04:25:30.419831+00:00
124,300000,30000,2025-08-10T06:47:05.419831+00:00
125,200000,100000,2025-05-13T02:23:27.419831+00:00
126,1000000,50000,2025-10-03T13:48:41.419831+00:00
127,500000,30000,2025-09-06T20:36:51.419831+00:00
128,200000,200000,2025-10-23T22:57:47.419831+00:00
129,1000000,30000,2025-04-11T13:53:12.420332+00:00
130,500000,50000,2025-12-03T14:32:59.420332+00:00
131,100000,30000,2025-09-26T06:55:06.420332+00:00
132,100000,200000,2026-02-06T19:15:00.420332+00:00
133,300000,100000,2025-06-13T01:52:44.420332+00:00
134,200000,30000,2025-08-21T15:35:45.420832+00:00
135,1000000,100000,2025-10-14T07:19:55.420832+00:00
136,500000,100000,2026-01-20T18:35:14.420832+00:00
137,100000,100000,2025-09-02T11:08:18.420832+00:00
138,100000,100000,2025-07-22T06:33:43.420832+00:00
139,500000,200000,2025-08-23T17:24:33.420832+00:00
140,100000,200000,2026-01-27T21:29:40.420832+00:00
141,300000,30000,2026-01-02T23:08:37.420832+00:00
142,300000,100000,2026-01-23T21:48:43.420832+00:00
143,200000,100000,2025-11-01T23:20:17.420832+00:00
144,500000,100000,2025-03-06T10:34:58.420832+00:00
145,200000,200000,2025-04-09T08:17:04.420832+00:00
146,200000,50000,2025-06-08T11:31:41.421835+00:00
147,100000,200000,2025-08-12T23:51:15.421835+00:00
148,100000,100000,2025-10-20T21:36:47.421835+00:00
149,1000000,200000,2025-03-25T14:57:23.421835+00:00
150,1000000,30000,2025-06-19T01:41:41.421835+00:00
151,1000000,30000,2025-12-09T00:09:37.421835+00:00
152,1000000,100000,2026-01-19T17:28:19.422339+00:00
153,1000000,30000,2025-12-01T04:50:19.422339+00:00
154,200000,200000,2026-01-03T07:38:46.422339+00:00
155,200000,200000,2025-03-05T23:22:56.422339+00:00
156,1000000,100000,2025-09-05T00:55:11.422339+00:00
157,500000,100000,2025-03-09T17:30:20.422339+00:00
158,100000,100000,2025-06-03T08:31:46.422839+00:00
159,1000000,200000,2025-07-16T15:42:29.422839+00:00
160,300000,30000,2025-07-31T11:44:51.422839+00:00
161,200000,100000,2025-10-30T07:54:57.422839+00:00
162,100000,30000,2025-04-06T13:35:18.422839+00:00
163,1000000,200000,2025-04-09T11:09:49.422839+00:00
164,300000,200000,2025-06-15T15:00:09.423339+00:00
165,200000,30000,2025-12-12T20:11:34.423339+00:00
166,500000,200000,2025-03-11T09:43:59.423339+00:00
167,200000,200000,2025-12-01T16:47:02.423339+00:00
168,200000,100000,2025-04-04T08:36:35.423339+00:00
169,100000,200000,2026-02-09T13:33:00.423339+00:00
170,300000,200000,2025-03-26T14:54:09.423839+00:00
171,200000,100000,2025-09-11T13:27:42.423839+00:00
172,300000,100000,2026-01-03T21:38:52.423839+00:00
173,300000,100000,2025-06-10T08:09:35.423839+00:00
174,1000000,100000,2025-05-08T14:31:45.423839+00:00
175,1000000,200000,2025-11-14T03:28:31.423839+00:00
176,300000,50000,2025-06-04T07:37:56.424338+00:00
177,500000,200000,2025-10-20T04:00:12.424338+00:00
178,300000,30000,2026-01-10T14:28:49.424338+00:00
179,200000,30000,2025-05-06T18:49:02.424338+00:00
180,100000,200000,2026-02-04T00:31:09.424338+00:00
181,500000,100000,2025-03-29T17:20:38.424838+00:00
182,200000,50000,2025-03-19T18:36:16.424838+00:00
183,300000,200000,2025-07-13T18:00:37.424838+00:00
